Issue Type,Issue Key,Summary,Description,Acceptance Criteria,Story Points,Priority,Component,Assignee Role
Sub-task,FE-2.3.3,FE-2.3.3_Private listing preview page,Màn hình người bạn mở link riêng tư để xem thông tin vé chỉ xem được khi có đúng token.,Hiển thị vé bảo lãnh an toàn,3,High,Frontend,Dev 4
Sub-task,BE-CORE-2.3.1,BE-CORE-2.3.1_Create resale listing with private token api,Xử lý sinh GUID token bí mật nếu is_private = true lưu vào resale_listings.,Tạo niêm yết vé P2P an toàn,3,Highest,Backend Core,Dev 1
Sub-task,BE-CORE-2.3.2,BE-CORE-2.3.2_Validate private listing access token api,Endpoint xác thực token khi truy cập link private thiếu hoặc sai token trả về 403 Forbidden.,Bảo vệ vé riêng tư tuyệt đối,2,High,Backend Core,Dev 1
Sub-task,DB-CORE-2.3.1,DB-CORE-2.3.1_Setup resale_listings table with partial unique index,Cấu hình EF Core Fluent API và Partial Unique Index chống bán trùng vé.,Đảm bảo toàn vẹn dữ liệu CSDL,2,High,Backend Core,Dev 1
Story,US-2.4,US-2.4_Seller manages listed tickets and cancels listing,Người bán xem danh sách vé đã đăng lấy lại link bán riêng hoặc hủy niêm yết để hoàn vé gốc bên BTC.,Gherkin AC-2.4: Xem danh sách vé; hủy vé VERIFIED -> mở khóa BTC; chặn hủy khi TRANSACTING hoặc SOLD,11,Medium,Core Platform,Dev 1
Sub-task,FE-2.4.1,FE-2.4.1_Seller listed tickets table & status badges component,Danh sách vé của tôi kèm huy hiệu Public/Private/Verified/Sold.,Hiển thị trực quan theo trạng thái,2,Medium,Frontend,Dev 4
Sub-task,FE-2.4.2,FE-2.4.2_Cancel listing confirmation modal & copy link button,Nút lấy lại link private và nút hủy đăng bán kèm modal xác nhận.,Hủy an toàn có cảnh báo,2,Medium,Frontend,Dev 4
Sub-task,FE-2.4.3,FE-2.4.3_Seller ticket management page,Trang tổng hợp quản lý vé của Seller.,Dashboard quản lý tập trung,2,Medium,Frontend,Dev 4
Sub-task,BE-CORE-2.4.1,BE-CORE-2.4.1_Get seller listings api,Query lấy danh sách vé theo CurrentUserService.UserId.,Lấy chính xác vé của user hiện tại,2,Medium,Backend Core,Dev 1
Sub-task,BE-CORE-2.4.2,BE-CORE-2.4.2_Cancel resale listing api,Kiểm tra vé chưa bị mua đổi sang CANCELLED gọi MockOrganizer mở khóa vé.,Chuyển trạng thái an toàn,2,High,Backend Core,Dev 1
Sub-task,BE-MOCK-2.4.1,BE-MOCK-2.4.1_Unlock original ticket api,Mở khóa vé gốc từ LOCKED_FOR_RESALE về VALID bên hệ thống BTC.,Vé gốc hoạt động lại bình thường,1,Medium,Mock Organizer,Dev 2
Story,US-2.5,US-2.5_Quality Assurance & Security Testing for MF-02,Kiểm thử tự động cho toàn bộ luồng MF-02: logic trần giá vòng đời OTP và bảo mật link riêng tư.,Pass 100% test cases MF-02,5,High,QA / Test,Dev 5
Sub-task,TEST-2.5.1,TEST-2.5.1_Unit test price ceiling domain rule,Viết unit test C# kiểm tra: ResalePrice > OriginalPrice phải ném lỗi; <= phải pass.,Kiểm thử tự động rule bất biến,2,High,QA / Test,Dev 5
Sub-task,TEST-2.5.2,TEST-2.5.2_Integration test OTP verification & expiry,Test API luồng OTP: đúng OTP sai OTP quá 3 lần OTP hết hạn sau 5 phút.,Bảo vệ cổng xác thực vé,2,High,QA / Test,Dev 5
Sub-task,TEST-2.5.3,TEST-2.5.3_Security test private token protection,Test kiểm tra vé private không bao giờ truy cập được nếu thiếu token bí mật.,Bảo vệ dữ liệu riêng tư,1,Medium,QA / Test,Dev 5
Story,US-2.6,US-2.6_Seller Flow Refinements based on Review 1 Feedback,Cập nhật phản biện Thầy Đức: biên độ trần giá delta % và ưu đãi phí kèm kịch bản Private Resale.,Gherkin AC-2.6: Giá trần linh hoạt 422; phí ưu đãi private 1-2%; thông điệp bảo vệ P2P,7,High,Core Platform,Dev 1
Sub-task,BE-CORE-2.6.1,BE-CORE-2.6.1_Configurable markup percentage on Event and ResaleListing,Bổ sung trường MaxResaleMarkupPercentage và cập nhật kiểm tra trần giá trong domain.,Validate trần giá linh hoạt,2,High,Backend Core,Dev 1
Sub-task,FE-2.6.1,FE-2.6.1_Price slider ceiling warning with dynamic markup rate,Cập nhật UI form đăng bán hiển thị giá trần tối đa theo biên độ sự kiện.,Hiển thị trực quan giá trần,1,Medium,Frontend,Dev 3
Sub-task,BE-CORE-2.6.2,BE-CORE-2.6.2_Discounted platform fee calculation for private resale,Áp dụng mức phí ưu đãi 1-2% khi is_private = true.,Tính phí sàn chính xác,2,Medium,Backend Core,Dev 1
Sub-task,FE-2.6.2,FE-2.6.2_Private resale protection benefits modal and badge,Thêm badge bảo vệ P2P và modal giải thích lý do nên mua bán private qua sàn.,Giao diện tin cậy cho người dùng,1,Low,Frontend,Dev 4
Sub-task,TEST-2.6.1,TEST-2.6.1_Unit test configurable markup price ceiling,Unit test kiểm thử giá trong ngưỡng delta và vượt ngưỡng delta.,Xanh 100% unit test,1,Medium,QA / Test,Dev 5
